open,close,high,low,value,quantity,end
58.68,58.38,58.8,57.94,68375566.79999998,1172570,2022-02-15 13:59:59
58.38,58.44,58.74,58.28,29597968.80000001,505860,2022-02-15 14:59:59
58.44,58.54,58.68,58.22,35362694.39999999,605000,2022-02-15 15:59:59
58.5,58.32,58.58,58.2,30230226.399999987,518290,2022-02-15 16:59:59
58.28,58.44,58.56,58.28,39315317.2,672740,2022-02-15 17:59:59
58.42,59.2,59.26,58.36,93573256.0,1588710,2022-02-15 18:59:59
59.28,58.94,59.3,58.74,32499039.599999994,551540,2022-02-15 19:59:59
58.98,58.96,59.08,58.7,30374358.399999995,515930,2022-02-15 20:59:59
58.9,58.9,58.96,58.68,22144179.599999998,376590,2022-02-15 21:59:59
58.92,58.94,58.96,58.76,11441318.400000002,194270,2022-02-15 22:59:59
58.92,59.42,59.74,58.9,68354898.00000003,1151340,2022-02-15 23:59:59
59.58,59.58,59.58,59.58,13107.6,220,2022-02-16 06:59:59
59.42,59.7,59.76,59.3,31021653.39999999,520390,2022-02-16 07:59:59
59.64,60.66,60.84,59.56,78657549.19999997,1306350,2022-02-16 08:59:59
60.66,60.52,60.8,60.32,80334099.40000004,1326670,2022-02-16 09:59:59
60.56,60.52,60.72,60.0,101836562.99999996,1688810,2022-02-16 10:59:59
60.52,60.42,60.78,60.38,74100106.20000002,1222860,2022-02-16 11:59:59
60.42,60.14,60.52,60.02,60398891.99999999,1003510,2022-02-16 12:59:59
60.12,60.6,60.6,60.12,44053416.6,731100,2022-02-16 13:59:59
60.6,60.5,60.6,60.34,22778777.40000001,376670,2022-02-16 14:59:59
60.5,60.2,60.68,60.12,59994987.800000004,994310,2022-02-16 15:59:59
60.2,60.24,60.44,60.14,21793902.0,361380,2022-02-16 16:59:59
60.22,60.36,60.5,60.14,37383841.2,619720,2022-02-16 17:59:59
60.32,60.5,60.54,60.3,30462365.799999997,504050,2022-02-16 18:59:59
60.5,60.4,60.58,60.34,16950306.599999998,280510,2022-02-16 19:59:59
60.44,60.46,60.5,60.4,7867369.000000001,130170,2022-02-16 20:59:59
60.46,60.44,60.5,60.4,15531272.999999996,257060,2022-02-16 21:59:59
60.44,60.4,60.74,60.4,47023548.6,777000,2022-02-16 22:59:59
60.44,60.42,60.64,60.4,14016951.599999998,231770,2022-02-16 23:59:48
60.42,60.42,60.42,60.42,18126.0,300,2022-02-17 06:59:59
60.42,59.18,60.66,59.04,89270278.6,1496340,2022-02-17 07:59:59
59.16,59.2,59.54,58.9,37994018.99999999,641680,2022-02-17 08:59:59
59.18,59.54,60.0,58.54,62340113.99999999,1051410,2022-02-17 09:59:59
59.52,59.58,59.78,59.26,53599328.399999976,899980,2022-02-17 10:59:59
59.58,59.0,59.78,58.32,84996316.2,1443070,2022-02-17 11:59:59
59.0,58.9,59.16,58.62,49922409.40000001,847660,2022-02-17 12:59:59
58.9,59.08,59.14,58.76,38388297.800000004,651210,2022-02-17 13:59:59
59.08,58.62,59.08,58.32,85817427.4,1465670,2022-02-17 14:59:59
58.66,58.58,58.9,58.44,28245780.6,481700,2022-02-17 15:59:59
58.58,58.26,58.64,58.04,54563871.60000002,936060,2022-02-17 16:59:59
58.2,57.74,58.52,57.68,119662073.19999997,2061870,2022-02-17 17:59:59
57.7,58.46,58.58,57.6,96993049.40000002,1664390,2022-02-17 18:59:59
58.5,58.3,58.68,58.28,24787387.000000007,423800,2022-02-17 19:59:59
58.34,58.32,58.4,58.16,8963296.400000002,153840,2022-02-17 20:59:59
58.36,57.84,58.38,57.84,30658106.8,527800,2022-02-17 21:59:59
57.88,57.96,58.1,57.84,24976232.400000006,430700,2022-02-17 22:59:59
57.92,58.08,58.16,57.82,25129910.599999998,433580,2022-02-17 23:59:58
58.18,58.18,58.18,58.18,158249.59999999995,2720,2022-02-18 06:59:59
58.2,58.78,58.98,58.2,32941690.799999993,560810,2022-02-18 07:59:59
58.78,58.78,58.9,58.64,7017011.600000001,119390,2022-02-18 08:59:59
58.74,58.66,58.8,58.5,12049085.799999999,205500,2022-02-18 09:59:59
58.6,58.24,58.8,57.98,69410697.6,1186630,2022-02-18 10:59:59
58.22,57.38,58.32,57.26,108553721.39999999,1882560,2022-02-18 11:59:59
57.34,57.58,57.68,57.24,45671241.60000001,794160,2022-02-18 12:59:59
57.58,57.44,57.6,57.4,18137629.400000002,315490,2022-02-18 13:59:59
57.42,57.32,57.6,57.14,41979925.599999964,732370,2022-02-18 14:59:59
57.32,57.82,57.94,57.26,28906497.599999994,501210,2022-02-18 15:59:59
57.82,56.92,57.82,56.88,236946188.20000014,4149310,2022-02-18 16:59:59
56.92,56.38,57.0,55.7,159504267.20000002,2832180,2022-02-18 17:59:59
56.36,55.7,56.4,55.5,93340842.40000002,1671110,2022-02-18 18:47:08
55.56,56.0,56.14,55.2,57139090.800000004,1026000,2022-02-18 19:59:59
56.0,56.0,56.22,55.78,41335974.40000001,738120,2022-02-18 20:59:59
56.04,55.74,56.12,55.6,35156503.8,629340,2022-02-18 21:59:59
55.74,55.96,56.1,55.72,17574760.999999993,314200,2022-02-18 22:59:59
55.96,55.7,56.48,55.7,53876765.79999999,961590,2022-02-18 23:59:59
55.7,55.7,55.7,55.7,753064.0,13520,2022-02-21 06:59:59
55.76,56.22,56.46,55.36,88695237.0,1582400,2022-02-21 07:59:59
56.16,56.42,56.8,56.14,36208036.199999996,640420,2022-02-21 08:59:59
56.42,56.58,56.88,56.2,37785122.2,667960,2022-02-21 09:59:59
56.56,55.14,56.62,54.58,130278528.60000001,2347620,2022-02-21 10:59:59
55.12,54.44,55.42,54.24,123036808.60000001,2245090,2022-02-21 11:59:59
54.42,54.76,55.0,53.9,134204604.99999999,2467820,2022-02-21 12:59:59
54.7,53.0,54.8,52.9,128583600.8,2398440,2022-02-21 13:59:59
53.08,50.68,53.18,49.8,667500704.8000001,13122960,2022-02-21 14:59:59
50.68,51.42,51.9,50.36,355334070.6,6962330,2022-02-21 15:59:59
51.38,50.24,51.7,49.96,255229969.59999993,5042760,2022-02-21 16:59:59
50.28,45.46,50.66,44.98,604053968.4000001,12547230,2022-02-21 17:59:59
45.44,46.9,48.5,45.0,562677222.9999999,12188360,2022-02-21 18:59:59
47.5,48.38,48.96,45.76,216953497.60000002,4512850,2022-02-21 19:59:59
48.38,46.8,48.98,46.7,160870793.60000002,3364730,2022-02-21 20:59:59
46.8,46.0,46.98,45.0,244619039.4,5324020,2022-02-21 21:59:59
46.0,46.72,48.16,42.14,463401023.4,10365920,2022-02-21 22:59:59
46.8,46.6,47.3,45.58,100760737.80000001,2165500,2022-02-21 23:59:44
46.5,46.5,46.5,46.5,762600.0,16400,2022-02-22 06:59:59
46.46,46.98,47.42,44.02,151398790.40000004,3276720,2022-02-22 07:59:59
46.98,47.2,47.86,46.34,100440427.2,2128930,2022-02-22 08:59:59
47.26,45.76,47.78,45.1,114596074.79999998,2462070,2022-02-22 09:59:59
45.76,46.28,47.34,43.4,349274154.2,7686670,2022-02-22 10:59:59
46.3,46.64,47.58,46.08,279456081.3999999,5983070,2022-02-22 11:59:59
46.6,46.0,46.74,45.8,143433406.60000002,3083560,2022-02-22 12:59:59
46.0,46.2,46.24,45.54,148517758.79999998,3239100,2022-02-22 13:59:59
46.22,46.24,47.0,46.04,147112526.2,3168420,2022-02-22 14:59:59
46.18,48.28,48.96,46.02,220873630.60000002,4612480,2022-02-22 15:59:59
48.3,48.56,48.78,47.6,87913442.00000001,1823820,2022-02-22 16:59:59
48.56,49.92,50.16,47.82,246924619.6,5026130,2022-02-22 17:59:59
50.0,49.0,50.12,49.0,174242998.60000002,3522780,2022-02-22 18:59:59
49.0,48.04,49.0,46.34,110559843.2,2315970,2022-02-22 19:59:59
48.14,47.2,48.2,47.04,46282649.399999976,971080,2022-02-22 20:59:59
47.28,47.34,47.96,47.18,42485696.6,893460,2022-02-22 21:59:59
47.4,49.5,50.0,47.16,116347247.0,2382520,2022-02-22 22:59:59
49.42,49.52,49.9,49.26,83417386.20000002,1684680,2022-02-22 23:59:49
44.5,44.5,44.5,44.5,5643045.0,126810,2022-02-24 06:59:59
44.5,44.24,45.08,44.24,61476330.40000003,1387220,2022-02-24 07:59:59
44.24,44.24,44.24,44.24,2399135.2000000007,54230,2022-02-24 09:59:59
44.24,33.96,44.24,33.96,316936672.6,8785830,2022-02-24 10:34:08
34.28,29.56,38.18,29.3,305218874.7999999,8908580,2022-02-24 11:35:13
29.72,38.76,40.0,29.06,458136088.40000004,13654480,2022-02-24 12:59:59
38.82,37.7,38.92,36.7,124800869.20000003,3318390,2022-02-24 13:59:59
37.7,34.14,37.76,33.22,144691267.40000007,4101170,2022-02-24 14:59:59
34.14,34.7,35.14,33.22,96852104.8,2818480,2022-02-24 15:59:59
34.72,33.3,35.12,32.08,97018329.6,2903240,2022-02-24 16:59:59
33.74,34.18,35.1,32.06,93774635.99999999,2799300,2022-02-24 17:59:59
34.02,33.4,35.98,33.1,102364849.39999999,3001790,2022-02-24 18:59:59
33.88,37.26,37.48,33.6,63195897.99999997,1770130,2022-02-24 19:59:59
37.14,36.6,37.86,33.4,151652847.79999998,4340820,2022-02-24 20:59:59
36.6,36.98,37.7,35.32,104353373.80000003,2849400,2022-02-24 21:59:59
37.0,36.78,41.82,36.6,193920880.60000002,5111100,2022-02-24 22:59:59
36.76,35.7,37.0,35.5,42599116.599999994,1165200,2022-02-24 23:59:59
35.5,35.5,35.5,35.5,1788845.0,50390,2022-02-25 09:59:59
35.46,38.98,39.6,34.26,152304780.0,4008830,2022-02-25 10:59:59
38.72,36.96,38.98,35.64,167004444.79999995,4475980,2022-02-25 11:59:59
36.8,36.18,36.98,34.7,108593979.60000002,3044790,2022-02-25 12:59:59
36.16,35.38,36.62,35.0,53344736.60000002,1481770,2022-02-25 13:59:59
35.38,36.58,36.7,35.3,44120331.200000025,1223650,2022-02-25 14:59:59
36.58,36.86,36.86,36.1,61606311.2,1686710,2022-02-25 15:59:59
36.86,37.38,37.56,36.0,128935010.40000002,3526010,2022-02-25 16:59:59
37.4,36.86,37.56,36.56,80655099.39999999,2166080,2022-02-25 17:59:59
36.88,36.8,37.32,36.14,72709178.39999999,1979140,2022-02-25 18:59:59
36.8,36.88,37.38,36.42,36518899.19999999,988230,2022-02-25 19:59:59
36.88,37.04,37.2,36.62,28062618.199999996,759070,2022-02-25 20:59:59
37.08,36.8,37.24,36.74,35109833.39999999,948820,2022-02-25 21:59:59
36.84,36.7,36.92,36.6,18529786.8,503850,2022-02-25 22:59:59
36.7,36.74,36.8,36.42,16144885.6,440620,2022-02-25 23:59:56
33.08,33.08,33.08,33.08,11186994.400000002,338180,2022-03-24 09:59:59
33.08,32.98,36.0,29.18,493927470.1999999,15013240,2022-03-24 10:59:59
33.0,33.16,33.48,32.3,248702289.6,7533340,2022-03-24 11:59:59
33.24,32.2,33.26,32.1,138759042.99999997,4248270,2022-03-24 12:59:59
32.2,30.7,32.32,30.7,95432371.19999999,3019010,2022-03-24 13:59:59
27.64,27.64,27.64,27.64,31888268.000000134,1153700,2022-03-25 09:59:59
27.64,26.54,30.4,26.06,471614610.4000001,16727040,2022-03-25 10:59:59
26.54,26.78,26.86,25.22,327125363.9999999,12563460,2022-03-25 11:59:59
26.76,26.18,26.96,25.8,147023979.8,5588100,2022-03-25 12:59:59
26.18,25.1,26.18,25.1,137199668.6,5352440,2022-03-25 13:59:59
25.76,25.76,25.76,25.76,5817638.39999999,225840,2022-03-28 09:59:59
25.78,26.4,27.3,23.72,305240896.20000017,11801000,2022-03-28 10:59:59
26.4,26.36,26.58,26.06,72478120.4,2738520,2022-03-28 11:59:59
26.34,26.36,26.38,26.08,41282345.400000006,1567500,2022-03-28 12:59:59
26.36,25.86,26.44,25.8,46851567.400000006,1794360,2022-03-28 13:59:59
26.04,26.04,26.04,26.04,691101.600000001,26540,2022-03-29 09:59:59
26.04,27.22,27.8,25.88,150141360.99999994,5530490,2022-03-29 10:59:59
27.26,28.72,28.78,27.22,191453560.20000008,6819280,2022-03-29 11:59:59
28.72,29.54,33.66,28.64,685298027.6000007,21969720,2022-03-29 12:54:13
29.54,30.1,31.3,28.1,131445142.39999993,4377730,2022-03-29 13:50:08
31.14,31.14,31.14,31.14,7397929.800000004,237570,2022-03-30 09:59:59
31.18,33.12,34.0,31.06,524362275.80000025,16057730,2022-03-30 10:59:59
33.12,32.34,33.5,31.5,205067341.39999998,6305700,2022-03-30 11:59:59
32.4,33.2,33.3,32.1,182865450.4,5558690,2022-03-30 12:59:59
33.22,37.54,37.54,33.2,415006911.2000001,11791760,2022-03-30 13:50:08
39.5,39.5,39.5,39.5,29594585.0,749230,2022-03-31 09:59:59
39.54,37.68,39.88,35.28,569581859.5999998,15250500,2022-03-31 10:59:59
37.68,37.1,37.7,35.8,283096542.3999999,7660120,2022-03-31 11:59:59
37.04,37.0,37.1,37.0,95166318.39999995,2570880,2022-03-31 12:59:59
37.04,36.7,37.06,36.5,77346280.8,2094570,2022-03-31 13:59:59
36.7,36.98,37.04,36.7,60032327.20000001,1627600,2022-03-31 14:59:59
36.98,36.4,37.04,35.6,85712748.00000003,2353820,2022-03-31 15:59:59
36.4,37.24,38.3,36.04,197284857.60000008,5284780,2022-03-31 16:59:59
37.28,37.42,37.96,37.22,85550892.80000001,2273620,2022-03-31 17:59:59
37.5,37.74,37.8,37.1,55987518.6,1491380,2022-03-31 18:59:59
38.26,38.26,38.26,38.26,4667719.999999999,122000,2022-04-01 09:59:59
38.26,39.08,40.0,37.1,354899273.8000001,9115110,2022-04-01 10:59:59
39.08,37.48,39.08,37.4,142865298.59999996,3713590,2022-04-01 11:59:59
37.46,38.34,39.0,37.3,113593160.99999996,2973320,2022-04-01 12:59:59
38.4,38.16,38.6,38.02,37076601.400000006,968400,2022-04-01 13:59:59
38.16,38.22,38.46,38.0,33968132.4,888710,2022-04-01 14:59:59
38.22,37.98,38.22,37.8,36576634.0,961900,2022-04-01 15:59:59
37.98,38.06,38.1,37.8,37818423.39999998,996370,2022-04-01 16:59:59
38.06,39.3,39.7,38.02,232634673.6,5973750,2022-04-01 17:59:59
39.26,38.8,39.32,38.2,104588466.20000002,2698330,2022-04-01 18:59:59
39.52,39.52,39.52,39.52,3300710.4000000036,83520,2022-04-04 09:59:59
39.54,37.8,40.5,37.6,238643579.39999995,6132100,2022-04-04 10:59:59
37.8,38.62,38.98,37.8,100353240.80000004,2611370,2022-04-04 11:59:59
38.64,38.76,38.84,38.52,76563187.4,1978680,2022-04-04 12:59:59
38.76,38.72,38.92,38.68,38537880.79999999,995130,2022-04-04 13:59:59
38.72,38.68,38.78,38.68,22066717.599999994,570090,2022-04-04 14:59:59
38.7,40.64,42.66,38.68,888262232.4,21753160,2022-04-04 15:59:59
40.64,40.76,40.92,38.9,386595008.2000001,9663300,2022-04-04 16:59:59
40.76,40.56,40.82,40.14,124367825.20000002,3061530,2022-04-04 17:59:59
40.62,40.9,41.2,40.44,114422996.99999999,2806650,2022-04-04 18:59:59
41.54,41.54,41.54,41.54,7687807.8000000045,185070,2022-04-05 09:59:59
41.52,39.14,41.54,39.0,245895888.59999996,6143800,2022-04-05 10:59:59
39.12,39.4,40.18,39.1,105302082.80000004,2664470,2022-04-05 11:59:59
39.4,38.36,39.4,38.1,90192324.4,2321120,2022-04-05 12:59:59
38.3,36.92,39.2,36.9,115271756.2,3022570,2022-04-05 13:59:59
36.92,38.24,38.48,35.5,133468899.20000002,3574570,2022-04-05 14:59:59
38.26,38.58,38.98,38.22,56625571.999999985,1465310,2022-04-05 15:59:59
38.58,37.92,38.6,37.8,32966100.599999998,865090,2022-04-05 16:59:59
37.92,37.6,38.5,37.22,53694428.39999998,1417550,2022-04-05 17:59:59
37.56,37.76,38.12,37.32,36164836.0,959240,2022-04-05 18:59:59
37.4,37.4,37.4,37.4,932382.0,24930,2022-04-06 09:59:59
37.5,37.72,38.52,36.08,142682825.99999994,3821760,2022-04-06 10:59:59
37.72,37.54,37.86,37.38,30976850.4,824530,2022-04-06 11:59:59
37.54,38.34,38.4,37.44,41795623.00000001,1099550,2022-04-06 12:59:59
